Date;Open;High;Low;Close;Adj Close;Volume
22.01.2018;1244,51001;1256,73999;1243,689941;1256,709961;1256,709961;3471780000
23.01.2018;1257,22998;1259,959961;1255,040039;1257,47998;1257,47998;3519650000
24.01.2018;1260,719971;1263,810059;1250,77002;1256,540039;1256,540039;4014070000
25.01.2018;1260,420044;1261,75;1254,160034;1258,040039;1258,040039;3835150000
26.01.2018;1262,109985;1273,98999;1261,439941;1273,98999;1273,98999;3443230000
29.01.2018;1271,180054;1272,619995;1264,75;1265,560059;1265,560059;3573830000
30.01.2018;1255,699951;1259,02002;1250,310059;1251,930054;1251,930054;3990650000
31.01.2018;1256,140015;1258,77002;1246,660034;1251,420044;1251,420044;4261280000
01.02.2018;1248,27002;1258,880005;1247,51001;1252,150024;1252,150024;3938450000
02.02.2018;1246,920044;1246,920044;1223,199951;1224,689941;1224,689941;4301130000
05.02.2018;1213,939941;1224,550049;1164,670044;1171,849976;1171,849976;5283460000
06.02.2018;1156,660034;1196,670044;1147,890015;1194,48999;1194,48999;5891660000
07.02.2018;1192,660034;1208,52002;1187,329956;1187,560059;1187,560059;4626570000
08.02.2018;1188,959961;1189,109985;1141,969971;1142,280029;1142,280029;5305440000
09.02.2018;1151,290039;1167,530029;1120,079956;1159,199951;1159,199951;5680070000
12.02.2018;1167,01001;1183,219971;1161,189941;1175,780029;1175,780029;4055790000
13.02.2018;1171,540039;1181,650024;1166,859985;1178,930054;1178,930054;3472870000
14.02.2018;1173,939941;1194,800049;1172,339966;1193,23999;1193,23999;4003740000
15.02.2018;1200,030029;1208,599976;1189,719971;1208,439941;1208,439941;3684910000
16.02.2018;1206,939941;1219,310059;1206;1208,880005;1208,880005;3637460000
20.02.2018;1204,72998;1210,300049;1196,339966;1200,709961;1200,709961;3627610000
21.02.2018;1202,540039;1214,839966;1194,310059;1194,380005;1194,380005;3779400000
