"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10"
100;100;100;100;100;100;100;100;100;100
102,069086899484;91,4203745863918;101,275029278951;95,0959649872686;98,0529860338801;98,642512855201;100,782824590564;105,830368141372;96,9139704708853;98,8357526467943
102,416074236008;92,5278314421362;106,560725564289;102,839488177882;100,056079870258;101,1184392558;101,954352544827;106,886463291025;92,036287541428;103,331628946065
102,71776502791;92,7568328049858;107,657907995524;101,621111734664;100,783084430705;97,9721999334546;105,788556395024;97,9325238760299;96,392364570034;103,429174836704
105,521620944734;91,6346398725475;107,523076959998;102,164546856841;104,925747182794;96,5892701065885;108,985439544535;103,594881542729;97,7587255107867;101,035520218183
107,745756938114;93,8128458888525;105,870799268405;105,487377241132;101,394622495163;96,5004698798381;107,367621397582;106,547942040261;100,52266321213;99,337536045685
101,694527593981;91,8328341425182;105,036122058293;102,658019759593;100,558459423138;94,2328133230614;105,933159373035;100,051998139509;97,5253256447029;98,5237282305153
98,4964670149757;95,8034213899206;111,368629881187;100,841218435972;103,419498746244;96,5339440737155;103,305697989117;96,1473755225168;96,2352074255957;97,9993516294004
102,44949698404;92,489259803577;110,682257296527;96,3349667740507;100,569427396956;94,1276947632084;110,003085053378;93,7271752377076;90,5945947921378;93,3949290615469
107,41609877527;90,09430990739;110,949788823786;91,5061416041538;96,7939217488872;94,2744792001751;107,231776725858;87,3479498125928;91,6306730261118;91,8782916475418
112,691877757039;85,6872104528131;107,359539358337;96,1795397505054;96,1284730911425;86,6232367955379;104,690349791508;90,7033358596029;94,2425399680791;89,4127355069019
112,472117867704;83,8894272046983;101,775984365678;95,0250598923952;96,0123940515103;84,5184605644761;105,353214911009;90,1535342971425;94,7241493767163;86,2875466217279
112,65691177864;82,1318127419753;103,02949350354;99,1128947803348;97,6905602880361;82,7585940637185;95,828736690473;90,8413672898052;90,1066690747594;82,8122082497819
114,175995330758;83,381584396985;101,429041445058;96,8743978906636;93,3763689206657;83,494757500723;94,4492928776825;95,159301297443;93,3487757867342;83,2120450564121
112,930809325179;82,9660169520308;100,213736369415;94,02363338875;95,4658100144101;84,9037812191008;93,5974029593804;94,339699620358;96,8375515125117;80,9214871606858
110,084497253034;88,700387853726;101,953800232136;91,685096684187;95,6773995432674;84,4494132318013;95,1663223869752;92,0209993604971;103,685686433335;81,1919248721511
113,604534314392;85,6383302564476;104,033920489686;98,253880996726;97,0356751224947;86,7685795500904;91,0031477191807;97,6674439557515;106,229327276956;79,6268422591752
112,33379340657;79,8748379790009;109,849320354553;95,033029536012;93,940773441436;90,5193957802098;89,2783590443797;94,5499502969118;106,785229218929;80,0542524116406
113,764473208163;82,8994556753621;114,326024790789;93,4415636889773;95,9309002872614;88,0221069294051;86,9292833396568;94,8991336396072;107,528680372905;80,9958918455284
108,533617158539;83,5559604695913;111,301731997529;88,3217211671193;97,2013515353562;90,5422808333616;79,9115416923154;91,8804485552093;99,2317617222808;77,6164993543854
108,382948306869;82,998925167194;120,055878640197;83,6498959756891;100,015869215666;90,8607831366101;79,6889645710924;91,2683358093268;94,5400591564909;77,4211875791672
112,957239422557;85,6881591485706;122,106361949596;80,3673196647109;98,7102347490171;88,5800611495445;83,2173314559034;97,6414887789237;98,5349463740567;79,8084920695137
111,335432493882;81,2952284842628;116,09531615358;82,7010284671741;101,316064332055;90,401738440109;78,4643045410462;107,741930146156;96,8415854436791;78,8560773724607
108,355981742063;77,3984938236744;116,319819688703;78,4279810565828;109,537456630486;86,9864215764175;81,561268082573;108,750580561962;96,5695774215712;77,8214933070097
110,812250769946;72,1834483098816;118,272683573731;79,4087571723982;105,729248807297;87,5713560508705;81,7993668765074;108,334058517292;101,401515430132;83,1135393712783
